gilligan.crew.hut	maryann.girl.hut	7387
laser3.copyroom.hut	fileserver.copyroom.hut	9250
maryann.girl.hut	offshore.wreck	602
maryann.girl.hut	fileserver.copyroom.hut	864
fileserver.copyroom.hut	laser3.copyroom.hut	8481
fileserver.copyroom.hut	skipper.crew.hut	8873
offshore.wreck	laser3.copyroom.hut	2021
maryann.girl.hut	gilligan.crew.hut	3722
laser3.copyroom.hut	ginger.girl.hut	5452
fileserver.copyroom.hut	laser3.copyroom.hut	5351
fileserver.copyroom.hut	fileserver.copyroom.hut	1722
ginger.girl.hut	professor.hut	59
professor.hut	maryann.girl.hut	7677
skipper.crew.hut	laser3.copyroom.hut	4244
skipper.crew.hut	laser3.copyroom.hut	5458
professor.hut	professor.hut	4303
fileserver.copyroom.hut	skipper.crew.hut	8880
offshore.wreck	offshore.wreck	1855
ginger.girl.hut	skipper.crew.hut	3800
skipper.crew.hut	maryann.girl.hut	5422
ginger.girl.hut	professor.hut	883
skipper.crew.hut	laser3.copyroom.hut	6446
fileserver.copyroom.hut	gilligan.crew.hut	3520
fileserver.copyroom.hut	maryann.girl.hut	4217
laser3.copyroom.hut	skipper.crew.hut	5798
laser3.copyroom.hut	fileserver.copyroom.hut	7644
maryann.girl.hut	professor.hut	234
ginger.girl.hut	gilligan.crew.hut	6951
fileserver.copyroom.hut	ginger.girl.hut	5545
professor.hut	ginger.girl.hut	6300
skipper.crew.hut	professor.hut	9746
gilligan.crew.hut	maryann.girl.hut	7669
fileserver.copyroom.hut	ginger.girl.hut	8401
fileserver.copyroom.hut	offshore.wreck	1239
fileserver.copyroom.hut	maryann.girl.hut	7519
professor.hut	laser3.copyroom.hut	3948
fileserver.copyroom.hut	offshore.wreck	5423
professor.hut	maryann.girl.hut	1104
offshore.wreck	gilligan.crew.hut	5042
ginger.girl.hut	gilligan.crew.hut	8761
ginger.girl.hut	offshore.wreck	4789
offshore.wreck	ginger.girl.hut	1181
fileserver.copyroom.hut	maryann.girl.hut	448
gilligan.crew.hut	fileserver.copyroom.hut	8715
fileserver.copyroom.hut	laser3.copyroom.hut	6487
professor.hut	professor.hut	8075
laser3.copyroom.hut	offshore.wreck	9000
skipper.crew.hut	professor.hut	5655
offshore.wreck	fileserver.copyroom.hut	214
skipper.crew.hut	ginger.girl.hut	2750
skipper.crew.hut	maryann.girl.hut	8495
laser3.copyroom.hut	offshore.wreck	2035
gilligan.crew.hut	offshore.wreck	5142
laser3.copyroom.hut	fileserver.copyroom.hut	2021
maryann.girl.hut	skipper.crew.hut	429
fileserver.copyroom.hut	laser3.copyroom.hut	8547
professor.hut	fileserver.copyroom.hut	5474
ginger.girl.hut	maryann.girl.hut	4415
laser3.copyroom.hut	maryann.girl.hut	1087
maryann.girl.hut	skipper.crew.hut	6141
laser3.copyroom.hut	laser3.copyroom.hut	1850
offshore.wreck	fileserver.copyroom.hut	1590
skipper.crew.hut	gilligan.crew.hut	7416
maryann.girl.hut	fileserver.copyroom.hut	284
professor.hut	gilligan.crew.hut	7051
fileserver.copyroom.hut	laser3.copyroom.hut	6457
laser3.copyroom.hut	fileserver.copyroom.hut	1499
fileserver.copyroom.hut	fileserver.copyroom.hut	7390
ginger.girl.hut	ginger.girl.hut	8688
professor.hut	laser3.copyroom.hut	3018
laser3.copyroom.hut	maryann.girl.hut	9170
skipper.crew.hut	professor.hut	6692
ginger.girl.hut	maryann.girl.hut	100
offshore.wreck	professor.hut	6730
maryann.girl.hut	professor.hut	3434
fileserver.copyroom.hut	offshore.wreck	3284
skipper.crew.hut	professor.hut	9460
gilligan.crew.hut	fileserver.copyroom.hut	3237
ginger.girl.hut	skipper.crew.hut	1003
maryann.girl.hut	fileserver.copyroom.hut	2822
fileserver.copyroom.hut	fileserver.copyroom.hut	1640
professor.hut	maryann.girl.hut	4472
professor.hut	ginger.girl.hut	751
professor.hut	fileserver.copyroom.hut	6844
maryann.girl.hut	laser3.copyroom.hut	5844
gilligan.crew.hut	offshore.wreck	5656
offshore.wreck	skipper.crew.hut	131
offshore.wreck	fileserver.copyroom.hut	1411
fileserver.copyroom.hut	skipper.crew.hut	7194
ginger.girl.hut	ginger.girl.hut	2462
gilligan.crew.hut	maryann.girl.hut	9493
professor.hut	skipper.crew.hut	5659
offshore.wreck	professor.hut	2519
offshore.wreck	fileserver.copyroom.hut	1758
gilligan.crew.hut	offshore.wreck	3408
offshore.wreck	offshore.wreck	877
professor.hut	gilligan.crew.hut	9716
laser3.copyroom.hut	offshore.wreck	623
offshore.wreck	skipper.crew.hut	2161
maryann.girl.hut	ginger.girl.hut	3172
ginger.girl.hut	offshore.wreck	8437
offshore.wreck	maryann.girl.hut	9946
offshore.wreck	gilligan.crew.hut	8849
gilligan.crew.hut	gilligan.crew.hut	2147
fileserver.copyroom.hut	professor.hut	4951
ginger.girl.hut	laser3.copyroom.hut	471
gilligan.crew.hut	professor.hut	7216
maryann.girl.hut	skipper.crew.hut	5944
laser3.copyroom.hut	professor.hut	253
skipper.crew.hut	maryann.girl.hut	9833
gilligan.crew.hut	ginger.girl.hut	599
gilligan.crew.hut	maryann.girl.hut	6481
gilligan.crew.hut	maryann.girl.hut	2299
skipper.crew.hut	maryann.girl.hut	9463
gilligan.crew.hut	laser3.copyroom.hut	1999
fileserver.copyroom.hut	maryann.girl.hut	2765
maryann.girl.hut	fileserver.copyroom.hut	7524
professor.hut	ginger.girl.hut	5280
offshore.wreck	skipper.crew.hut	2094
ginger.girl.hut	gilligan.crew.hut	342
skipper.crew.hut	laser3.copyroom.hut	4966
skipper.crew.hut	skipper.crew.hut	7466
fileserver.copyroom.hut	professor.hut	4633
ginger.girl.hut	gilligan.crew.hut	9517
maryann.girl.hut	fileserver.copyroom.hut	7492
skipper.crew.hut	fileserver.copyroom.hut	3145
offshore.wreck	professor.hut	4370
skipper.crew.hut	maryann.girl.hut	8092
professor.hut	maryann.girl.hut	7497
fileserver.copyroom.hut	laser3.copyroom.hut	4116
offshore.wreck	ginger.girl.hut	73
gilligan.crew.hut	maryann.girl.hut	7724
professor.hut	gilligan.crew.hut	269
professor.hut	offshore.wreck	6716
gilligan.crew.hut	offshore.wreck	5923
offshore.wreck	maryann.girl.hut	9030
maryann.girl.hut	gilligan.crew.hut	2812
professor.hut	skipper.crew.hut	5866
professor.hut	maryann.girl.hut	7223
ginger.girl.hut	gilligan.crew.hut	4612
gilligan.crew.hut	maryann.girl.hut	2809
offshore.wreck	skipper.crew.hut	3283
fileserver.copyroom.hut	professor.hut	7113
skipper.crew.hut	laser3.copyroom.hut	1944
